name,rating,category,address,source
농민백암순대 본점,4.5,국밥,"서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33",kakaomap
훠궈나라 강남점,3.5,중식,"서울 강남구 봉은사로2길 35 소현빌딩 2층
(지번) 역삼동 813-8",kakaomap
정돈 강남점,4.2,"돈까스,우동","서울 강남구 강남대로110길 19-1 케이빌딩 1층
(지번) 역삼동 601-29",kakaomap
천진영감,3.2,중국요리,"서울 강남구 봉은사로6길 26 1층
(지번) 역삼동 811-6",kakaomap
최가네버섯샤브매운탕칼국수 본점,4.4,샤브샤브,"서울 강남구 도산대로51길 36 2-3층
(지번) 신사동 655",kakaomap
김북순큰남비집 신사본점,3.9,"찌개,전골","서울 강남구 압구정로2길 15 신사아이빌 1층
(지번) 신사동 522",kakaomap
가배도 신논현점,3.4,다방,"서울 강남구 강남대로110길 13 호림빌딩 2-3층
(지번) 역삼동 601-12",kakaomap
땀땀 본점,3.6,베트남음식,"서울 강남구 강남대로98길 12-5 1층
(지번) 역삼동 817-31",kakaomap
농민백암순대 강남직영점,4.6,순대,"서울 강남구 역삼로3길 20-4 1층
(지번) 역삼동 830-9",kakaomap
뉴만두집,3.8,한식,"서울 강남구 압구정로 338 1층
(지번) 신사동 661-1",kakaomap
어거스트힐 강남점,3.5,양식,"서울 강남구 강남대로106길 25 1층
(지번) 역삼동 616-18",kakaomap
한우리 본점,3.2,"육류,고기","서울 강남구 도산대로 304
(지번) 논현동 91-18",kakaomap
아방궁,3.6,중국요리,"서울 강남구 역삼로1길 18 2층
(지번) 역삼동 831-32",kakaomap
수다 대치점,4.6,일본식주점,"서울 강남구 선릉로86길 37 2층
(지번) 대치동 890-45",kakaomap
반룡산,3.9,냉면,"서울 강남구 테헤란로78길 26 1층
(지번) 대치동 894-4",kakaomap
